[ 1.95399252e-14 -3.55271368e-14 -1.50990331e-14]
[ 3.01980663e-14 -3.90798505e-14 -5.32907052e-15]
[ 2.30926389e-14 -2.66453526e-14 -2.04281037e-14]
[ 8.88178420e-15 -3.19744231e-14 -1.95399252e-14]
[ 1.42108547e-14 -3.01980663e-14 -2.04281037e-14]
[ 2.13162821e-14 -3.90798505e-14 -2.22044605e-14]
[ 1.06581410e-14 -4.26325641e-14 -2.30926389e-14]
[ 1.42108547e-14 -3.37507799e-14 -1.42108547e-14]
[ 2.66453526e-14 -5.50670620e-14 -1.06581410e-14]
[ 1.59872116e-14 -5.32907052e-14  0.00000000e+00]
[ 8.88178420e-15 -4.44089210e-14  1.15463195e-14]
[ 3.55271368e-15 -4.26325641e-14  8.88178420e-16]
[ 1.24344979e-14 -3.01980663e-14 -4.44089210e-15]
[ 1.59872116e-14 -4.97379915e-14 -2.66453526e-15]
[ 1.24344979e-14 -4.97379915e-14 -4.44089210e-15]
[ 2.84217094e-14 -4.61852778e-14 -5.32907052e-15]
[ 1.77635684e-15 -5.32907052e-14 -3.55271368e-15]
[ 2.48689958e-14 -4.79616347e-14 -1.33226763e-14]
[ 2.30926389e-14 -5.32907052e-14  8.88178420e-16]
[ 3.73034936e-14 -5.32907052e-14 -1.86517468e-14]
[ 2.84217094e-14 -5.50670620e-14 -4.44089210e-15]
[ 4.79616347e-14 -4.97379915e-14 -2.66453526e-15]
[ 2.66453526e-14 -4.61852778e-14 -1.06581410e-14]
[ 3.19744231e-14 -4.61852778e-14 -1.15463195e-14]
[ 2.13162821e-14 -4.26325641e-14 -1.86517468e-14]
[ 3.37507799e-14 -4.26325641e-14 -1.42108547e-14]
[ 3.01980663e-14 -4.97379915e-14  0.00000000e+00]
[ 4.08562073e-14 -6.03961325e-14  8.88178420e-15]
[ 3.37507799e-14 -6.39488462e-14 -5.32907052e-15]
[ 3.37507799e-14 -5.32907052e-14 -1.50990331e-14]
[ 2.84217094e-14 -4.97379915e-14 -1.77635684e-15]
[ 3.37507799e-14 -5.32907052e-14 -4.44089210e-15]
[ 3.55271368e-14 -4.97379915e-14 -1.59872116e-14]
[ 4.26325641e-14 -5.32907052e-14 -1.77635684e-14]
[ 3.73034936e-14 -6.57252031e-14 -1.24344979e-14]
[ 3.37507799e-14 -6.03961325e-14 -1.50990331e-14]
[ 4.26325641e-14 -7.28306304e-14 -2.04281037e-14]
[ 1.59872116e-14 -7.10542736e-14 -1.68753900e-14]
[ 5.68434189e-14 -6.75015599e-14 -1.59872116e-14]
[ 3.19744231e-14 -6.75015599e-14 -1.06581410e-14]
[ 4.08562073e-14 -6.21724894e-14 -1.33226763e-14]
[ 6.39488462e-14 -6.39488462e-14 -1.95399252e-14]
[ 5.15143483e-14 -5.86197757e-14 -3.73034936e-14]
[ 5.86197757e-14 -6.21724894e-14 -3.81916720e-14]
[ 6.57252031e-14 -6.39488462e-14 -3.10862447e-14]
[ 4.26325641e-14 -6.03961325e-14 -2.57571742e-14]
[ 4.61852778e-14 -5.68434189e-14 -3.19744231e-14]
[ 3.90798505e-14 -5.32907052e-14 -2.57571742e-14]
[ 4.26325641e-14 -5.68434189e-14 -2.93098879e-14]
[ 4.26325641e-14 -6.39488462e-14 -2.93098879e-14]
[ 4.26325641e-14 -6.03961325e-14 -1.95399252e-14]
[ 4.08562073e-14 -5.68434189e-14 -1.06581410e-14]
[ 3.37507799e-14 -5.86197757e-14 -8.88178420e-15]
[ 2.84217094e-14 -5.32907052e-14 -8.88178420e-15]
[ 2.13162821e-14 -4.79616347e-14 -2.30926389e-14]
[ 2.84217094e-14 -5.50670620e-14 -1.68753900e-14]
[ 2.13162821e-14 -4.44089210e-14 -1.95399252e-14]
[ 1.42108547e-14 -4.44089210e-14 -2.93098879e-14]
[ 1.77635684e-15 -4.26325641e-14 -2.13162821e-14]
[-1.77635684e-15 -3.55271368e-14 -1.42108547e-14]
[ 1.77635684e-14 -4.26325641e-14 -1.42108547e-14]
[ 1.42108547e-14 -4.26325641e-14 -1.59872116e-14]
[ 1.42108547e-14 -4.79616347e-14 -1.33226763e-14]
[ 5.32907052e-15 -4.79616347e-14 -2.48689958e-14]
[ 8.88178420e-15 -4.97379915e-14 -2.22044605e-14]
[ 1.06581410e-14 -5.50670620e-14 -1.42108547e-14]
[ 2.30926389e-14 -4.44089210e-14 -1.33226763e-14]
[ 2.30926389e-14 -5.15143483e-14 -1.15463195e-14]
[ 2.84217094e-14 -4.44089210e-14 -1.15463195e-14]
[ 1.59872116e-14 -5.68434189e-14  8.88178420e-16]
[ 7.10542736e-15 -5.15143483e-14 -7.99360578e-15]
[-1.77635684e-15 -4.08562073e-14  6.21724894e-15]
[ 7.10542736e-15 -3.73034936e-14 -4.44089210e-15]
[-1.77635684e-15 -2.66453526e-14 -8.88178420e-15]
[-1.06581410e-14 -3.55271368e-14  8.88178420e-16]
[-5.32907052e-15 -3.90798505e-14  5.32907052e-15]
[ 1.77635684e-15 -4.97379915e-14 -7.10542736e-15]
[-1.06581410e-14 -3.55271368e-14  1.42108547e-14]
[-1.77635684e-15 -4.97379915e-14  1.15463195e-14]
[ 3.55271368e-15 -4.44089210e-14 -7.99360578e-15]
[ 1.24344979e-14 -5.68434189e-14  4.44089210e-15]
[ 3.55271368e-15 -4.08562073e-14  1.06581410e-14]
[ 5.32907052e-15 -2.30926389e-14  3.55271368e-15]
[ 1.24344979e-14 -3.01980663e-14  6.21724894e-15]
[ 2.30926389e-14 -3.90798505e-14  0.00000000e+00]
[ 1.95399252e-14 -3.90798505e-14 -1.15463195e-14]
[ 2.13162821e-14 -4.08562073e-14  8.88178420e-16]
[ 1.77635684e-14 -3.19744231e-14  1.77635684e-14]
[ 2.30926389e-14 -4.61852778e-14  1.50990331e-14]
[ 1.24344979e-14 -5.32907052e-14  1.24344979e-14]
[ 5.32907052e-15 -5.15143483e-14  2.57571742e-14]
[ 5.32907052e-15 -5.86197757e-14  1.95399252e-14]
[ 1.06581410e-14 -5.68434189e-14  2.75335310e-14]
[ 8.88178420e-15 -5.68434189e-14  2.75335310e-14]
